Timestamp,Day of the sale,Quantity,Month of the year,Day of the week,Price (per item unless its a set),Card amount paid,Cash amount paid,Product type,Handmade / Beaded collections,Sterling Silver collections,Gold Plated collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/17/2024 12:01:02,12/17/2024,1,December,Tuesday,10,0,10,Handmade / Beaded,Earing Charms,,,Christmas Gloves,,,,,
12/17/2024 12:18:22,12/17/2024,1,December,Tuesday,36,0,36,Gold Plated,,,necklaces,Raw Stone,,,Pearl moonstone (june),,
12/17/2024 14:16:22,12/17/2024,1,December,Tuesday,45,45,0,Gold Plated,,,necklaces,Amazonite ,,,,,
12/17/2024 14:27:33,12/17/2024,1,December,Tuesday,40,40,0,Gold Plated,,,rings,Snake and ruby,,,,,
12/17/2024 14:51:55,12/17/2024,1,December,Tuesday,45,45,0,Gold Plated,,,bracelets,Raw Stone,,,Amethyst (february),,
12/18/2024 12:37:03,12/18/2024,1,December,Wednesday,45,0,45,Sterling Silver,,Sterling Silver Bracelets,,3 white clover,,,,,
12/18/2024 14:49:29,12/18/2024,1,December,Wednesday,50,0,50,Sterling Silver,,Sterling Silver Rings,,Zirconia,pink,,,,
12/18/2024 14:50:47,12/18/2024,1,December,Wednesday,50,0,50,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,,
12/18/2024 14:52:14,12/18/2024,1,December,Wednesday,30,0,30,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,,
12/18/2024 15:35:19,12/18/2024,1,December,Wednesday,20,0,20,Handmade / Beaded,beaded bracelets,,,Rose quartz and evil eye,,,,,
12/18/2024 18:07:55,12/18/2024,1,December,Wednesday,25,25,0,Gold Plated,,,stud earings,Mohave Stone,,Mohave emerald,,,
12/18/2024 18:09:40,12/18/2024,1,December,Wednesday,20,20,0,Sterling Silver,,Sterling Silver Stud Earings,,Small heart ,,,,,
12/18/2024 18:11:41,12/18/2024,1,December,Wednesday,60,60,0,Gold Plated,,,SET,Sapphire raw stone,,,,2,Necklace & Earrings
12/18/2024 18:27:21,12/18/2024,1,December,Wednesday,45,45,0,Gold Plated,,,bracelets,Raw Stone,,,Amethyst (february),,
12/18/2024 18:28:52,12/18/2024,1,December,Wednesday,12,12,0,Sterling Silver,,Sterling Silver Nose rings,,Nose ring,,,,,
12/18/2024 18:56:33,12/18/2024,1,December,Wednesday,12,12,0,Sterling Silver,,Sterling Silver Nose rings,,Nose ring white small flower,,,,,
12/19/2024 11:06:59,12/19/2024,1,December,Thursday,30,0,30,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/19/2024 11:08:06,12/19/2024,1,December,Thursday,17,0,17,Handmade / Beaded,beaded bracelets,,,Customize with name ,,,,,
12/19/2024 13:29:05,12/19/2024,1,December,Thursday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,Evil eye and round zirconia ,,,,,
12/19/2024 13:29:05,12/19/2024,1,December,Thursday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,Evil eye and round zirconia ,,,,,
12/19/2024 16:01:28,12/19/2024,1,December,Thursday,35,35,0,Sterling Silver,,Sterling Silver Stud Earings,,Infinity,,,,,
12/19/2024 17:37:25,12/19/2024,1,December,Thursday,20,20,0,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,,
12/19/2024 18:02:53,12/19/2024,1,December,Thursday,50,50,0,Sterling Silver,,Sterling Silver Necklaces,,Evil eye,,,,,
12/19/2024 18:30:38,12/19/2024,1,December,Thursday,60,40,20,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,,
12/20/2024 10:22:59,12/20/2024,1,December,Friday,35,35,0,Sterling Silver,,Sterling Silver Bracelets,,Clover white,,,,,
12/20/2024 11:44:57,12/20/2024,1,December,Friday,10,0,10,Sterling Silver,,Sterling Silver Nose rings,,Plain ,,,,,
12/20/2024 16:01:59,12/20/2024,1,December,Friday,35,0,35,Gold Plated,,,rings,Rose quartz ring,,,,,
12/20/2024 22:52:04,12/20/2024,1,December,Friday,50,50,0,Sterling Silver,,Sterling Silver Necklaces,,Love of my Life (arabic),,,,,
12/21/2024 11:23:34,12/21/2024,1,December,Saturday,48,48,0,Sterling Silver,,Sterling Silver Rings,,Man rings,,,,,
12/21/2024 11:40:49,12/21/2024,1,December,Saturday,10,10,0,Handmade / Beaded,beaded bracelets,,,Evil eye,,,,,
12/21/2024 13:11:05,12/21/2024,1,December,Saturday,45,45,0,Sterling Silver,,Sterling Silver Necklaces,,ELEGANT STERLING SILVER KEFFIYEH-IN-SPIRED NECKLACE,,,,,
12/21/2024 16:50:03,12/21/2024,1,December,Saturday,45,45,0,Sterling Silver,,Sterling Silver Necklaces,,Clover ,,,,,
12/21/2024 17:19:51,12/21/2024,1,December,Saturday,10,10,0,Sterling Silver,,Sterling Silver Nose rings,,,,,,,
12/22/2024 13:47:10,12/22/2024,1,December,Sunday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
