Timestamp,Day of the sale,Quantity,Month of the year ,Day of the week,Price (per item unless its a set),Card amount payed,Cash amount Payed,Product type,Beads Collections,Sterling silver collections,Gold Plated Collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/14/2024 9:27:08,8/10/2024,1,August,Saturday,22,22,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,Pearl moonstone (june),,
12/14/2024 9:29:41,8/11/2024,1,August,Sunday,41,41,,Sterling Silver,,Sterling Silver Necklaces,,Tree of life,,,,,
12/14/2024 9:30:43,8/11/2024,1,August,Sunday,45,45,,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/14/2024 9:30:43,8/11/2024,1,August,Sunday,45,45,,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/14/2024 9:31:39,8/11/2024,1,August,Sunday,40,40,,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/14/2024 9:33:20,8/12/2024,1,August,Monday,22,22,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,1 Peridot and 1 moonstone,,
12/14/2024 9:33:20,8/12/2024,1,August,Monday,22,22,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,1 Peridot and 1 moonstone,,
12/17/2024 13:12:45,8/13/2024,1,August,Tuesday,34,102,,Gold Plated,,,dangling earings,Raw Stone,,,1 Peridot and 2 Ruby,,
12/17/2024 13:12:45,8/13/2024,1,August,Tuesday,34,102,,Gold Plated,,,dangling earings,Raw Stone,,,1 Peridot and 2 Ruby,,
12/17/2024 13:12:45,8/13/2024,1,August,Tuesday,34,102,,Gold Plated,,,dangling earings,Raw Stone,,,1 Peridot and 2 Ruby,,
12/17/2024 13:13:47,8/13/2024,1,August,Tuesday,38,38,,Gold Plated,,,necklaces,Pearl,,,,,
12/17/2024 17:46:16,8/13/2024,1,August,Tuesday,71,71,,Sterling Silver,,SET,,Evil eye,,,,2,Necklace & Studs
12/18/2024 9:56:36,8/14/2024,1,August,Wednesday,22,44,,Handmade / Beaded,beaded bracelets,,,Green,,,,,
12/18/2024 9:59:02,8/14/2024,1,August,Wednesday,45,45,,Sterling Silver,,Sterling Silver Rings,,,,,,,
12/18/2024 9:59:02,8/14/2024,1,August,Wednesday,45,45,,Sterling Silver,,Sterling Silver Rings,,,,,,,
